PWVmidTim        PW
20190106/0545   7.8
20190106/0615   8.7
20190106/0645   8.9
20190106/0715   9.0
20190106/0745   9.1
20190106/0815   8.8
20190106/0845   9.0
20190106/0915   9.0
20190106/0945   8.9
20190106/1015   8.8
20190106/1045   7.9
20190106/1115   7.5
20190106/1145   7.7
20190106/1215   7.2
20190106/1245   7.4
20190106/1315   7.5
20190106/1345   6.8
20190106/1415   6.8
20190106/1445   6.7
20190106/1515   6.6
20190106/1545   6.6
20190106/1615   6.1
20190106/1645   6.3
20190106/1715   6.5
20190106/1745   6.7
20190106/1815   6.8
20190106/1845   6.3
20190106/1915   6.0
20190106/1945   5.9
20190106/2015   5.2
20190106/2045   5.6
20190106/2115   5.5
20190106/2145   4.9
20190106/2215   5.2
20190106/2245   5.5
20190106/2315   5.3
20190106/2345   4.5
20190106/2345   4.5
20190107/0015   3.9
20190107/0045   4.0
20190107/0115   4.3
20190107/0145   4.2
20190107/0215   4.0
20190107/0245   3.6
20190107/0315   3.8
20190107/0345   3.7
20190107/0415   3.4
20190107/0445   3.7
20190107/0515   3.9
20190107/0545   4.5
20190107/0615   5.3
20190107/0645   5.7
20190107/0715   5.6
20190107/0745   5.5
20190107/0815   5.7
20190107/0845   5.8
20190107/0915   5.7
20190107/0945   6.0
20190107/1015   6.1
20190107/1045   5.9
20190107/1115   5.9
20190107/1145   6.2
20190107/1215   5.9
20190107/1245   5.9
20190107/1315   6.1
20190107/1345   5.7
20190107/1415   5.3
20190107/1445   4.4
20190107/1515   3.8
20190107/1545   4.2
20190107/1615   4.2
20190107/1645   4.2
20190107/1715   4.6
20190107/1745   4.6
20190107/1815   4.7
20190107/1845   3.8
20190107/1915   3.1
20190107/1945   2.8
20190107/2015   2.5
20190107/2045   2.4
20190107/2115   1.7
20190107/2145   1.8
20190107/2215   2.5
20190107/2245   2.5
20190107/2315   2.2
20190107/2345   2.0
20190107/2345   2.0
20190108/0015   2.0
20190108/0045   2.4
20190108/0115   3.0
20190108/0145   2.7
20190108/0215   2.9
20190108/0245   3.0
20190108/0315   3.0
20190108/0345   2.8
20190108/0415   2.5
20190108/0445   2.7
20190108/0515   2.5
20190108/0545   2.6
20190108/0615   2.4
20190108/0645   2.4
20190108/0715   2.6
20190108/0745   2.0
20190108/0815   1.5
20190108/0845   2.2
20190108/0915   2.4
20190108/0945   2.3
20190108/1015   2.7
20190108/1045   2.4
20190108/1115   2.6
20190108/1145   3.0
20190108/1215   3.0
20190108/1245   3.3
20190108/1315   3.5
20190108/1345   3.7
20190108/1415   4.1
20190108/1445   4.0
20190108/1515   4.0
20190108/1545   4.2
20190108/1615   4.1
20190108/1645   4.1
20190108/1715   4.2
20190108/1745   4.9
20190108/1815   5.5
20190108/1845   4.9
20190108/1915   4.6
20190108/1945   4.7
20190108/2015   4.9
20190108/2045   4.5
20190108/2115   4.1
20190108/2145   4.2
20190108/2215   4.3
20190108/2245   4.6
20190108/2315   4.3
20190108/2345   4.1
20190108/2345   4.1
20190109/0015   4.9
20190109/0045   5.3
20190109/0115   5.5
20190109/0145   5.4
20190109/0215   5.4
20190109/0245   5.4
20190109/0315   5.4
20190109/0345   5.2
20190109/0415   5.4
20190109/0445   5.4
20190109/0515   5.3
20190109/0545   5.8
20190109/0615   6.1
20190109/0645   6.5
20190109/0715   7.0
20190109/0745   7.3
20190109/0815   7.3
20190109/0845   7.6
20190109/0915   7.8
20190109/0945   7.8
20190109/1015   7.3
20190109/1045   7.1
20190109/1115   6.9
20190109/1145   7.2
20190109/1215   8.4
20190109/1245   9.0
20190109/1315   8.3
20190109/1345   7.5
20190109/1415   7.3
20190109/1445   7.0
20190109/1515   6.8
20190109/1545   6.4
20190109/1615   5.9
20190109/1645   5.7
20190109/1715   5.4
20190109/1745   6.2
20190109/1815   6.5
20190109/1845   5.8
20190109/1915   5.6
20190109/1945   5.8
20190109/2015   5.9
20190109/2045   5.6
20190109/2115   5.6
20190109/2145   6.1
20190109/2215   6.1
20190109/2245   6.2
20190109/2315   6.1
20190109/2345   5.6
20190109/2345   5.6
20190110/0015   6.2
20190110/0045   6.8
20190110/0115   7.1
20190110/0145   7.1
20190110/0215   6.9
20190110/0245   6.7
20190110/0315   6.5
20190110/0345   6.7
20190110/0415   7.1
20190110/0445   7.1
20190110/0515   6.9
20190110/0545   6.9
20190110/0615   7.1
20190110/0645   7.4
20190110/0715   7.6
20190110/0745   7.5
20190110/0815   7.4
20190110/0845   7.7
20190110/0915   7.5
20190110/0945   7.6
20190110/1015   7.5
20190110/1045   6.8
20190110/1115   6.9
20190110/1145   7.2
20190110/1215   7.4
20190110/1245   7.4
20190110/1315   7.2
20190110/1345   7.4
20190110/1415   7.6
20190110/1445   7.4
20190110/1515   7.5
20190110/1545   7.6
20190110/1615   7.6
20190110/1645   7.7
20190110/1715   8.1
20190110/1745   8.8
20190110/1815   9.1
20190110/1845   8.5
20190110/1915   8.2
20190110/1945   8.0
20190110/2015   7.8
20190110/2045   7.5
20190110/2115   7.1
20190110/2145   7.4
20190110/2215   7.6
20190110/2245   7.7
20190110/2315   7.4
20190110/2345   7.3
20190110/2345   7.3
20190111/0015   7.4
20190111/0045   7.2
20190111/0115   7.2
20190111/0145   7.0
20190111/0215   6.8
20190111/0245   6.6
20190111/0315   6.4
20190111/0345   6.4
20190111/0415   6.4
20190111/0445   6.0
20190111/0515   5.7
20190111/0545   6.0
20190111/0615   6.1
20190111/0645   5.9
20190111/0715   5.5
20190111/0745   5.2
20190111/0815   5.2
20190111/0845   5.2
20190111/0915   5.1
20190111/0945   5.4
20190111/1015   5.0
20190111/1045   4.7
20190111/1115   4.7
20190111/1145   4.8
20190111/1215   5.1
20190111/1245   4.7
20190111/1315   4.1
20190111/1345   4.1
20190111/1415   4.0
20190111/1445   4.0
20190111/1515   4.0
20190111/1545   3.8
20190111/1615   3.5
20190111/1645   3.4
20190111/1715   3.2
20190111/1745   3.8
20190111/1815   4.0
20190111/1845   3.3
20190111/1915   3.1
20190111/1945   3.1
20190111/2015   3.0
20190111/2045   2.4
20190111/2115   2.5
20190111/2145   2.8
20190111/2215   2.8
20190111/2245   3.1
20190111/2315   2.9
20190111/2345   2.6
20190111/2345   2.6
20190112/0015   2.6
20190112/0045   2.6
20190112/0115   2.6
20190112/0145   2.2
20190112/0215   2.2
20190112/0245   2.7
20190112/0315   2.3
20190112/0345   2.4
20190112/0415   3.0
20190112/0445   2.9
20190112/0515   2.9
20190112/0545   3.2
20190112/0615   3.7
20190112/0645   3.5
20190112/0715   2.9
20190112/0745   3.1
20190112/0815   3.1
20190112/0845   3.0
20190112/0915   3.3
20190112/0945   3.4
20190112/1015   2.7
20190112/1045   2.7
20190112/1115   2.7
20190112/1145   2.7
20190112/1215   3.2
20190112/1245   3.0
20190112/1315   2.5
20190112/1345   2.6
20190112/1415   2.4
20190112/1445   2.5
20190112/1515   2.6
20190112/1545   2.4
20190112/1615   2.5
20190112/1645   2.6
20190112/1715   2.9
20190112/1745   3.6
20190112/1815   3.5
20190112/1845   2.8
20190112/1915   2.4
20190112/1945   2.5
20190112/2015   2.6
20190112/2045   2.2
20190112/2115   2.3
20190112/2145   2.5
20190112/2215   2.5
20190112/2245   2.7
20190112/2315   2.6
20190112/2345   2.3
20190112/2345   2.3
20190113/0015   2.6
20190113/0045   2.7
20190113/0115   2.8
20190113/0145   2.8
20190113/0215   2.6
20190113/0245   2.9
20190113/0315   2.6
20190113/0345   2.4
20190113/0415   2.8
20190113/0445   2.7
20190113/0515   2.7
20190113/0545   3.4
20190113/0615   3.6
20190113/0645   3.0
20190113/0715   3.0
20190113/0745   2.9
20190113/0815   2.9
20190113/0845   3.1
20190113/0915   3.8
20190113/0945   3.8
20190113/1015   2.9
20190113/1045   3.0
20190113/1115   3.1
20190113/1145   3.3
20190113/1215   3.9
20190113/1245   3.8
20190113/1315   3.6
20190113/1345   3.8
20190113/1415   3.8
20190113/1445   4.2
20190113/1515   4.1
20190113/1545   3.8
20190113/1615   3.8
20190113/1645   3.9
20190113/1715   4.3
20190113/1745   5.0
20190113/1815   4.6
20190113/1845   3.9
20190113/1915   3.8
20190113/1945   3.9
20190113/2015   3.9
20190113/2045   3.7
20190113/2115   4.0
20190113/2145   4.0
20190113/2215   3.9
20190113/2245   3.9
20190113/2315   3.8
20190113/2345   3.8
20190113/2345   3.8
20190114/0015   3.5
20190114/0045   3.5
20190114/0115   3.5
20190114/0145   3.3
20190114/0215   3.3
20190114/0245   3.6
20190114/0315   3.1
20190114/0345   3.3
20190114/0415   3.7
20190114/0445   3.5
20190114/0515   3.5
20190114/0545   4.1
20190114/0615   4.7
20190114/0645   4.1
20190114/0715   3.7
20190114/0745   3.6
20190114/0815   3.6
20190114/0845   3.7
20190114/0915   4.2
20190114/0945   4.2
20190114/1015   3.2
20190114/1045   3.3
20190114/1115   3.6
20190114/1145   3.7
20190114/1215   4.1
20190114/1245   3.8
20190114/1315   3.3
20190114/1345   3.3
20190114/1415   3.3
20190114/1445   3.4
20190114/1515   3.4
20190114/1545   3.2
20190114/1615   3.2
20190114/1645   3.2
20190114/1715   3.6
20190114/1745   4.5
20190114/1815   4.1
20190114/1845   3.3
20190114/1915   3.1
20190114/1945   3.2
20190114/2015   3.2
20190114/2045   3.1
20190114/2115   3.5
20190114/2145   3.3
20190114/2215   3.4
20190114/2245   3.3
20190114/2315   3.0
20190114/2345   3.3
20190114/2345   3.3
20190115/0015   3.5
20190115/0045   3.6
20190115/0115   3.5
20190115/0145   3.2
20190115/0215   3.1
20190115/0245   3.1
20190115/0315   2.8
20190115/0345   3.2
20190115/0415   3.3
20190115/0445   3.0
20190115/0515   3.1
20190115/0545   3.4
20190115/0615   3.5
20190115/0645   3.3
20190115/0715   3.3
20190115/0745   3.0
20190115/0815   3.2
20190115/0845   3.1
20190115/0915   3.2
20190115/0945   3.1
20190115/1015   2.1
20190115/1045   1.8
20190115/1115   2.0
20190115/1145   2.4
20190115/1215   3.3
20190115/1245   2.9
20190115/1315   2.0
20190115/1345   2.3
20190115/1415   2.3
20190115/1445   2.4
20190115/1515   2.7
20190115/1545   3.1
20190115/1615   3.7
20190115/1645   4.3
20190115/1715   5.3
20190115/1745   6.1
20190115/1815   6.0
20190115/1845   5.3
20190115/1915   5.4
20190115/1945   5.8
20190115/2015   5.8
20190115/2045   5.8
20190115/2115   6.0
20190115/2145   5.8
20190115/2215   5.9
20190115/2245   5.9
20190115/2315   6.0
20190115/2345   6.2
20190115/2345   6.2
20190116/0015   6.2
20190116/0045   6.2
20190116/0115   6.2
20190116/0145   5.8
20190116/0215   5.5
20190116/0245   5.4
20190116/0315   5.0
20190116/0345   5.4
20190116/0415   5.6
20190116/0445   5.5
20190116/0515   5.8
20190116/0545   6.2
20190116/0615   6.2
20190116/0645   6.0
20190116/0715   5.9
20190116/0745   5.8
20190116/0815   5.8
20190116/0845   5.6
20190116/0915   6.2
20190116/0945   6.5
20190116/1015   6.1
20190116/1045   6.4
20190116/1115   6.8
20190116/1145   7.0
20190116/1215   7.3
20190116/1245   7.4
20190116/1315   7.2
20190116/1345   7.3
20190116/1415   7.3
20190116/1445   7.5
20190116/1515   7.5
20190116/1545   7.3
20190116/1615   7.4
20190116/1645   7.4
20190116/1715   7.6
20190116/1745   8.0
20190116/1815   7.5
20190116/1845   7.1
20190116/1915   7.1
20190116/1945   7.2
20190116/2015   7.2
20190116/2045   6.9
20190116/2115   7.1
20190116/2145   7.0
20190116/2215   7.2
20190116/2245   7.1
20190116/2315   6.8
20190116/2345   6.9
20190116/2345   6.9
20190117/0015   6.7
20190117/0045   6.8
20190117/0115   6.6
20190117/0145   6.2
20190117/0215   6.1
20190117/0245   6.0
20190117/0315   5.9
20190117/0345   6.7
20190117/0415   7.2
20190117/0445   7.1
20190117/0515   7.5
20190117/0545   7.7
20190117/0615   7.7
20190117/0645   7.7
20190117/0715   7.5
20190117/0745   7.7
20190117/0815   8.3
20190117/0845   7.9
20190117/0915   8.0
20190117/0945   8.5
20190117/1015   8.3
20190117/1045   8.6
20190117/1115   9.0
20190117/1145   9.3
20190117/1145   9.3
20190119/0015   4.9
20190119/0045   5.0
20190119/0115   4.9
20190119/0145   4.7
20190119/0215   4.4
20190119/0245   4.5
20190119/0315   4.4
20190119/0345   4.5
20190119/0415   4.4
20190119/0445   4.7
20190119/0515   5.3
20190119/0545   5.2
20190119/0615   5.0
20190119/0645   4.6
20190119/0715   4.5
20190119/0745   4.8
20190119/0815   5.0
20190119/0845   5.2
20190119/0915   5.7
20190119/0945   6.4
20190119/1015   6.2
20190119/1045   6.2
20190119/1115   6.5
20190119/1145   7.6
20190119/1215   8.1
20190119/1245   7.7
20190119/1315   7.6
20190119/1345   7.6
20190119/1415   7.9
20190119/1445   8.1
20190119/1515   8.4
20190119/1545   8.3
20190119/1615   8.3
20190119/1645   8.7
20190119/1715   9.4
20190119/1745   9.1
20190119/1815   8.0
20190119/1845   7.7
20190119/1915   7.1
20190119/1945   7.0
20190119/2015   7.0
20190119/2045   6.8
20190119/2115   6.5
20190119/2145   6.4
20190119/2215   6.7
20190119/2245   7.0
20190119/2315   6.9
20190119/2345   6.9
20190120/0015   7.7
20190120/0045   8.0
20190120/0115   8.2
20190120/0145   8.7
20190120/0215   8.9
20190120/0245   9.2
20190120/0315   9.6
20190120/0345   10.0
20190120/0415   10.0
20190120/0445   10.0
20190120/0515   10.5
20190120/0545   10.4
20190120/0615   10.4
20190120/0645   10.5
20190120/0715   10.3
20190120/0745   9.9
20190120/0815   10.3
20190120/0845   10.7
20190120/0915   10.5
20190120/0945   10.5
20190120/1015   10.4
20190120/1045   10.2
20190120/1115   9.9
20190120/1145   10.0
20190120/1215   10.1
20190120/1245   10.0
20190120/1315   9.7
20190120/1345   9.4
20190120/1415   9.0
20190120/1445   8.8
20190120/1515   8.8
20190120/1545   8.6
20190120/1615   8.2
20190120/1645   8.2
20190120/1715   8.7
20190120/1745   7.8
20190120/1815   6.9
20190120/1845   7.1
20190120/1915   7.0
20190120/1945   7.2
20190120/2015   7.2
20190120/2045   6.6
20190120/2115   7.0
20190120/2145   7.3
20190120/2215   7.1
20190120/2245   7.5
20190120/2315   7.5
20190120/2345   7.1
20190120/2345   7.1
20190121/0015   7.2
20190121/0045   7.2
20190121/0115   7.3
20190121/0145   7.5
20190121/0215   7.7
20190121/0245   8.1
20190121/0315   8.4
20190121/0345   8.8
20190121/0415   8.1
20190121/0445   8.4
20190121/0515   8.7
20190121/0545   8.7
20190121/0615   9.0
20190121/0645   8.8
20190121/0715   8.6
20190121/0745   8.7
20190121/0815   8.9
20190121/0845   9.8
20190121/0915   9.7
20190121/0945   8.5
20190121/1015   8.4
20190121/1045   8.2
20190121/1115   8.1
20190121/1145   9.0
20190121/1215   9.0
20190121/1245   7.9
20190121/1315   7.7
20190121/1345   7.5
20190121/1415   7.5
20190121/1445   7.6
20190121/1515   7.4
20190121/1545   7.7
20190121/1615   7.6
20190121/1645   8.0
20190121/1715   8.4
20190121/1745   7.0
20190121/1815   5.7
20190121/1845   5.3
20190121/1915   5.4
20190121/1945   5.1
20190121/2015   5.0
20190121/2045   5.6
20190121/2115   5.5
20190121/2145   4.7
20190121/2215   4.3
20190121/2245   4.2
20190121/2315   4.4
20190121/2345   4.2
20190121/2345   4.2
20190122/0015   4.0
20190122/0045   3.9
20190122/0115   3.7
20190122/0145   3.7
20190122/0215   3.8
20190122/0245   3.8
20190122/0315   3.8
20190122/0345   3.8
20190122/0415   3.8
20190122/0445   3.9
20190122/0515   3.9
20190122/0545   3.9
20190122/0615   3.7
20190122/0645   3.8
20190122/0715   3.9
20190122/0745   3.9
20190122/0815   4.1
20190122/0845   4.1
20190122/0915   3.5
20190122/0945   2.9
20190122/1015   2.9
20190122/1045   2.8
20190122/1115   3.3
20190122/1145   4.4
20190122/1215   3.8
20190122/1245   2.8
20190122/1315   2.7
20190122/1345   2.4
20190122/1415   2.4
20190122/1445   2.4
20190122/1515   2.5
20190122/1545   2.5
20190122/1615   2.0
20190122/1645   2.6
20190122/1715   2.9
20190122/1745   2.0
20190122/1815   1.7
20190122/1845   2.1
20190122/1915   2.3
20190122/1945   2.2
20190122/2015   2.0
20190122/2045   2.5
20190122/2115   3.0
20190122/2145   3.3
20190122/2215   3.5
20190122/2245   3.1
20190122/2315   3.1
20190122/2345   3.5
20190122/2345   3.5
20190123/0015   4.1
20190123/0045   4.3
20190123/0115   4.0
20190123/0145   3.6
20190123/0215   3.7
20190123/0245   3.6
20190123/0315   3.6
20190123/0345   4.0
20190123/0415   4.2
20190123/0445   4.2
20190123/0515   4.2
20190123/0545   4.7
20190123/0615   5.1
20190123/0645   5.2
20190123/0715   5.4
20190123/0745   5.7
20190123/0815   5.9
20190123/0845   6.2
20190123/0915   5.9
20190123/0945   5.5
20190123/1015   5.9
20190123/1045   5.9
20190123/1115   6.2
20190123/1145   6.9
20190123/1215   6.5
20190123/1245   5.6
20190123/1315   5.6
20190123/1345   5.5
20190123/1415   5.1
20190123/1445   4.6
20190123/1515   4.6
20190123/1545   4.8
20190123/1615   4.5
20190123/1645   5.0
20190123/1715   5.7
20190123/1745   4.9
20190123/1815   5.1
20190123/1845   5.4
20190123/1915   5.3
20190123/1945   5.0
20190123/2015   5.0
20190123/2045   5.8
20190123/2115   5.8
20190123/2145   5.4
20190123/2215   5.5
20190123/2245   5.6
20190123/2315   6.0
20190123/2345   5.7
20190123/2345   5.7
20190124/0015   5.8
20190124/0045   5.8
20190124/0115   5.7
20190124/0145   6.0
20190124/0215   6.0
20190124/0245   5.7
20190124/0315   5.5
20190124/0345   5.6
20190124/0415   5.5
20190124/0445   5.4
20190124/0515   5.4
20190124/0545   5.6
20190124/0615   5.8
20190124/0645   5.7
20190124/0715   5.8
20190124/0745   6.4
20190124/0815   6.1
20190124/0845   5.2
20190124/0915   4.6
20190124/0945   4.4
20190124/1015   4.4
20190124/1045   4.4
20190124/1115   4.8
20190124/1145   4.5
20190124/1215   4.2
20190124/1245   4.2
20190124/1315   4.0
20190124/1345   3.9
20190124/1415   3.8
20190124/1445   3.9
20190124/1515   4.0
20190124/1545   4.2
20190124/1615   4.0
20190124/1645   4.1
20190124/1715   4.0
20190124/1745   3.6
20190124/1815   3.9
20190124/1845   4.1
20190124/1915   4.1
20190124/1945   4.0
20190124/2015   3.6
20190124/2045   4.1
20190124/2115   3.9
20190124/2145   3.5
20190124/2215   3.7
20190124/2245   4.2
20190124/2315   4.3
20190124/2345   4.1
20190124/2345   4.1
20190125/0015   3.9
20190125/0045   3.8
20190125/0115   3.9
20190125/0145   3.9
20190125/0215   4.0
20190125/0245   3.8
20190125/0315   3.8
20190125/0345   3.9
20190125/0415   3.9
20190125/0445   3.9
20190125/0515   3.7
20190125/0545   3.6
20190125/0615   3.5
20190125/0645   3.4
20190125/0715   3.6
20190125/0745   3.8
20190125/0815   4.4
20190125/0845   4.5
20190125/0915   3.9
20190125/0945   3.6
20190125/1015   3.6
20190125/1045   3.7
20190125/1115   4.5
20190125/1145   4.8
20190125/1215   4.0
20190125/1245   3.9
20190125/1315   3.9
20190125/1345   3.8
20190125/1415   3.7
20190125/1445   4.0
20190125/1515   4.4
20190125/1545   4.5
20190125/1615   4.6
20190125/1645   5.5
20190125/1715   5.6
20190125/1745   4.5
20190125/1815   4.7
20190125/1845   5.3
20190125/1915   5.7
20190125/1945   5.6
20190125/2015   5.3
20190125/2045   5.7
20190125/2115   5.6
20190125/2145   5.6
20190125/2215   5.4
20190125/2245   4.9
20190125/2315   4.8
20190125/2345   4.9
20190125/2345   4.9
20190126/0015   5.1
20190126/0045   4.7
20190126/0115   4.5
20190126/0145   4.7
20190126/0215   4.4
20190126/0245   4.1
20190126/0315   4.3
20190126/0345   4.6
20190126/0415   4.7
20190126/0445   4.9
20190126/0515   4.6
20190126/0545   4.4
20190126/0615   4.5
20190126/0645   4.5
20190126/0715   4.8
20190126/0745   5.1
20190126/0815   5.6
20190126/0845   5.6
20190126/0915   5.0
20190126/0945   5.3
20190126/1015   6.0
20190126/1045   6.1
20190126/1115   7.1
20190126/1145   7.3
20190126/1215   6.2
20190126/1245   5.9
20190126/1315   5.8
20190126/1345   5.7
20190126/1415   5.4
20190126/1445   5.5
20190126/1515   5.6
20190126/1545   5.3
20190126/1615   5.5
20190126/1645   6.4
20190126/1715   5.8
20190126/1745   4.8
20190126/1815   5.1
20190126/1845   5.3
20190126/1915   5.5
20190126/1945   5.1
20190126/2015   4.8
20190126/2045   5.4
20190126/2115   5.7
20190126/2145   5.8
20190126/2215   5.8
20190126/2245   5.5
20190126/2315   5.7
20190126/2345   6.2
20190126/2345   6.2
20190127/0015   6.4
20190127/0045   6.4
20190127/0115   6.7
20190127/0145   7.2
20190127/0215   7.1
20190127/0245   6.8
20190127/0315   6.6
20190127/0345   6.7
20190127/0415   6.8
20190127/0445   7.3
20190127/0515   7.3
20190127/0545   6.9
20190127/0615   6.8
20190127/0645   6.9
20190127/0715   7.2
20190127/0745   7.0
20190127/0815   7.2
20190127/0845   7.2
20190127/0915   6.8
20190127/0945   7.1
