PWVmidTim        PW
20190504/0015   19.5
20190504/0045   19.3
20190504/0115   19.8
20190504/0145   19.8
20190504/0215   19.2
20190504/0245   18.4
20190504/0315   17.4
20190504/0345   17.1
20190504/0415   15.5
20190504/0445   14.6
20190504/0515   14.2
20190504/0545   13.3
20190504/0615   13.4
20190504/0645   12.8
20190504/0715   11.3
20190504/0745   11.3
20190504/0815   11.6
20190504/0845   11.4
20190504/0915   11.6
20190504/0945   11.9
20190504/1015   12.2
20190504/1045   12.9
20190504/1115   13.0
20190504/1145   12.6
20190504/1215   13.2
20190504/1245   13.1
20190504/1315   13.1
20190504/1345   12.9
20190504/1415   12.8
20190504/1445   12.9
20190504/1515   13.2
20190504/1545   13.6
20190504/1615   13.5
20190504/1645   13.3
20190504/1715   14.6
20190504/1745   16.3
20190504/1815   17.5
20190504/1845   18.0
20190504/1915   18.4
20190504/1945   19.0
20190504/2015   19.1
20190504/2045   19.8
20190504/2115   20.0
20190504/2145   18.8
20190504/2215   18.7
20190504/2245   19.1
20190504/2315   22.2
20190504/2345   21.0
20190505/0015   16.8
20190505/0045   17.1
20190505/0115   17.1
20190505/0145   16.8
20190505/0215   17.1
20190505/0245   17.4
20190505/0315   17.4
20190505/0345   17.3
20190505/0415   16.3
20190505/0445   15.7
20190505/0515   16.6
20190505/0545   15.8
20190505/0615   14.2
20190505/0645   13.4
20190505/0715   12.1
20190505/0745   11.4
20190505/0815   10.8
20190505/0845   10.4
20190505/0915   9.8
20190505/0945   9.4
20190505/1015   9.3
20190505/1045   9.0
20190505/1115   8.9
20190505/1145   8.9
20190505/1215   9.6
20190505/1245   9.7
20190505/1315   10.1
20190505/1345   9.7
20190505/1415   9.6
20190505/1445   9.7
20190505/1515   10.1
20190505/1545   10.3
20190505/1615   10.3
20190505/1645   11.5
20190505/1715   13.4
20190505/1745   15.1
20190505/1815   16.9
20190505/1845   18.6
20190505/1915   19.8
20190505/1945   21.9
20190505/2015   21.8
20190505/2045   21.3
20190505/2115   21.2
20190505/2145   18.1
20190505/2215   16.3
20190505/2245   14.8
20190505/2315   13.5
20190505/2345   13.5
20190506/0015   12.4
20190506/0045   12.3
20190506/0115   13.1
20190506/0145   14.1
20190506/0215   13.7
20190506/0245   13.4
20190506/0315   14.0
20190506/0345   13.7
20190506/0415   13.6
20190506/0445   13.9
20190506/0515   14.0
20190506/0545   13.0
20190506/0615   11.8
20190506/0645   10.6
20190506/0715   9.8
20190506/0745   10.1
20190506/0815   10.4
20190506/0845   10.4
20190506/0915   10.1
20190506/0945   10.2
20190506/1015   10.7
20190506/1045   11.0
20190506/1115   10.4
20190506/1145   9.7
20190506/1215   9.5
20190506/1245   9.3
20190506/1315   9.5
20190506/1345   9.9
20190506/1415   9.9
20190506/1445   10.4
20190506/1515   11.3
20190506/1545   11.6
20190506/1615   12.0
20190506/1645   12.3
20190506/1715   13.2
20190506/1745   14.2
20190506/1815   14.7
20190506/1845   16.2
20190506/1915   18.6
20190506/1945   22.2
20190506/2015   21.3
20190506/2045   18.8
20190506/2115   17.8
20190506/2145   16.6
20190506/2215   16.1
20190506/2245   14.6
20190506/2315   14.0
20190506/2345   14.2
20190507/0015   14.1
20190507/0045   13.9
20190507/0115   14.0
20190507/0145   14.2
20190507/0215   14.7
20190507/0245   14.4
20190507/0315   13.3
20190507/0345   12.5
20190507/0415   12.2
20190507/0445   12.3
20190507/0515   11.9
20190507/0545   11.6
20190507/0615   12.2
20190507/0645   12.6
20190507/0715   12.6
20190507/0745   12.6
20190507/0815   12.0
20190507/0845   11.2
20190507/0915   11.0
20190507/0945   11.0
20190507/1015   10.9
20190507/1045   10.8
20190507/1115   10.6
20190507/1145   10.4
20190507/1215   10.1
20190507/1245   10.2
20190507/1315   10.2
20190507/1345   10.6
20190507/1415   11.4
20190507/1445   11.8
20190507/1515   12.4
20190507/1545   12.8
20190507/1615   13.1
20190507/1645   14.4
20190507/1715   15.7
20190507/1745   16.7
20190507/1815   17.9
20190507/1845   18.8
20190507/1915   20.1
20190507/1945   20.6
20190507/2015   19.6
20190507/2045   18.4
20190507/2115   17.4
20190507/2145   17.2
20190507/2215   17.0
20190507/2245   17.2
20190507/2315   15.4
20190507/2345   13.2
20190508/0015   12.3
20190508/0045   12.8
20190508/0115   15.0
20190508/0145   15.2
20190508/0215   14.9
20190508/0245   14.8
20190508/0315   13.8
20190508/0345   13.3
20190508/0415   13.3
20190508/0445   13.2
20190508/0515   12.6
20190508/0545   12.3
20190508/0615   12.0
20190508/0645   10.9
20190508/0715   11.2
20190508/0745   11.7
20190508/0815   11.4
20190508/0845   10.7
20190508/0915   10.1
20190508/0945   10.2
20190508/1015   10.6
20190508/1045   10.7
20190508/1115   9.9
20190508/1145   9.4
20190508/1215   9.2
20190508/1245   9.6
20190508/1315   10.0
20190508/1345   10.1
20190508/1415   10.4
20190508/1445   10.0
20190508/1515   9.9
20190508/1545   10.2
20190508/1615   10.7
20190508/1645   10.7
20190508/1715   10.0
20190508/1745   10.2
20190508/1815   10.7
20190508/1845   10.5
20190508/1915   10.6
20190508/1945   10.7
20190508/2015   11.0
20190508/2045   10.9
20190508/2115   10.4
20190508/2145   9.7
20190508/2215   8.5
20190508/2245   7.6
20190508/2315   7.4
20190508/2345   7.6
20190509/0015   7.6
20190509/0045   7.7
20190509/0115   7.8
20190509/0145   7.7
20190509/0215   7.2
20190509/0245   6.8
20190509/0315   6.8
20190509/0345   6.8
20190509/0415   6.8
20190509/0445   6.7
20190509/0515   7.2
20190509/0545   8.0
20190509/0615   8.2
20190509/0645   8.0
20190509/0715   8.5
20190509/0745   8.3
20190509/0815   7.9
20190509/0845   8.1
20190509/0915   7.8
20190509/0945   7.4
20190509/1015   7.3
20190509/1045   7.1
20190509/1115   6.6
20190509/1145   6.1
20190509/1215   6.1
20190509/1245   6.3
20190509/1315   6.3
20190509/1345   6.4
20190509/1415   6.2
20190509/1445   6.3
20190509/1515   6.4
20190509/1545   6.3
20190509/1615   6.8
20190509/1645   7.1
20190509/1715   7.4
20190509/1745   8.1
20190509/1815   8.1
20190509/1845   8.1
20190509/1915   8.1
20190509/1945   7.8
20190509/2015   8.0
20190509/2045   8.6
20190509/2115   8.5
20190509/2145   7.6
20190509/2215   7.1
20190509/2245   6.6
20190509/2315   5.9
20190509/2345   5.6
20190510/0015   5.8
20190510/0045   6.5
20190510/0115   6.7
20190510/0145   7.0
20190510/0215   7.6
20190510/0245   7.6
20190510/0315   8.2
20190510/0345   8.6
20190510/0415   8.6
20190510/0445   8.8
20190510/0515   7.9
20190510/0545   7.8
20190510/0615   8.3
20190510/0645   8.0
20190510/0715   8.2
20190510/0745   8.6
20190510/0815   8.5
20190510/0845   8.2
20190510/0915   7.7
20190510/0945   7.4
20190510/1015   7.4
20190510/1045   6.9
20190510/1115   6.4
20190510/1145   6.4
20190510/1215   6.6
20190510/1245   7.1
20190510/1315   7.4
20190510/1345   7.3
20190510/1415   7.2
20190510/1445   6.9
20190510/1515   7.0
20190510/1545   7.3
20190510/1615   7.6
20190510/1645   8.4
20190510/1715   8.8
20190510/1745   8.7
20190510/1815   8.8
20190510/1845   9.4
20190510/1915   10.6
20190510/1945   11.1
20190510/2015   11.3
20190510/2045   12.0
20190510/2115   11.9
20190510/2145   11.8
20190510/2215   12.2
20190510/2245   11.9
20190510/2315   11.5
20190510/2345   10.6
20190511/0015   10.0
20190511/0045   10.4
20190511/0115   10.9
20190511/0145   11.0
20190511/0215   10.1
20190511/0245   10.1
20190511/0315   11.1
20190511/0345   10.4
20190511/0415   10.5
20190511/0445   11.6
20190511/0515   11.0
20190511/0545   10.8
20190511/0615   11.1
20190511/0645   10.7
20190511/0715   11.0
20190511/0745   11.0
20190511/0815   9.6
20190511/0845   8.6
20190511/0915   9.3
20190511/0945   9.5
20190511/1015   9.7
20190511/1045   9.7
20190511/1115   9.4
20190511/1145   9.1
20190511/1215   8.8
20190511/1245   8.9
20190511/1315   8.9
20190511/1345   8.9
20190511/1415   9.0
20190511/1445   8.8
20190511/1515   9.1
20190511/1545   9.8
20190511/1615   10.1
20190511/1645   10.4
20190511/1715   10.9
20190511/1745   11.7
20190511/1815   12.1
20190511/1845   12.1
20190511/1915   12.9
20190511/1945   13.2
20190511/2015   13.4
20190511/2045   13.3
20190511/2115   13.9
20190511/2145   14.5
20190511/2215   14.4
20190511/2245   14.9
20190511/2315   14.4
20190511/2345   13.4
20190512/0015   13.5
20190512/0045   14.1
20190512/0115   13.3
20190512/0145   12.8
20190512/0215   13.5
20190512/0245   14.2
20190512/0315   14.9
20190512/0345   14.6
20190512/0415   14.9
20190512/0445   15.4
20190512/0515   14.8
20190512/0545   15.0
20190512/0615   14.7
20190512/0645   14.0
20190512/0715   13.8
20190512/0745   13.1
20190512/0815   11.8
20190512/0845   11.0
20190512/0915   10.8
20190512/0945   10.5
20190512/1015   10.5
20190512/1045   10.4
20190512/1115   10.3
20190512/1145   9.9
20190512/1215   9.7
20190512/1245   10.0
20190512/1315   9.9
20190512/1345   9.8
20190512/1415   9.5
20190512/1445   9.5
20190512/1515   9.7
20190512/1545   9.6
20190512/1615   9.4
20190512/1645   9.4
20190512/1715   9.5
20190512/1745   9.7
20190512/1815   10.2
20190512/1845   10.8
20190512/1915   11.2
20190512/1945   11.5
20190512/2015   12.2
20190512/2045   12.3
20190512/2115   12.7
20190512/2145   13.3
20190512/2215   13.1
20190512/2245   13.1
20190512/2315   13.4
20190512/2345   12.9
20190513/0015   12.9
20190513/0045   13.3
20190513/0115   12.8
20190513/0145   12.9
20190513/0215   12.8
20190513/0245   13.2
20190513/0315   14.4
20190513/0345   14.7
20190513/0415   15.4
20190513/0445   15.5
20190513/0515   14.2
20190513/0545   13.9
20190513/0615   13.2
20190513/0645   12.6
20190513/0715   12.8
20190513/0745   12.8
20190513/0815   12.3
20190513/0845   12.0
20190513/0915   12.0
20190513/0945   12.3
20190513/1015   12.6
20190513/1045   12.0
20190513/1115   11.7
20190513/1145   11.8
20190513/1215   11.8
20190513/1245   11.1
20190513/1315   11.1
20190513/1345   11.4
20190513/1415   10.4
20190513/1445   9.9
20190513/1515   10.2
20190513/1545   10.4
20190513/1615   10.4
20190513/1645   10.4
20190513/1715   11.0
20190513/1745   11.4
20190513/1815   11.9
20190513/1845   12.8
20190513/1915   13.7
20190513/1945   13.7
20190513/2015   14.4
20190513/2045   14.8
20190513/2115   15.3
20190513/2145   15.1
20190513/2215   14.3
20190513/2245   14.7
20190513/2315   14.1
20190513/2345   13.2
20190514/0015   12.7
20190514/0045   12.9
20190514/0115   13.2
20190514/0145   12.2
20190514/0215   11.3
20190514/0245   11.8
20190514/0315   11.4
20190514/0345   10.7
20190514/0415   10.2
20190514/0445   9.1
20190514/0515   8.7
20190514/0545   9.8
20190514/0615   10.7
20190514/0645   10.5
20190514/0715   10.0
20190514/0745   9.8
20190514/0815   9.2
20190514/0845   9.0
20190514/0915   9.1
20190514/0945   8.9
20190514/1015   9.5
20190514/1045   9.6
20190514/1115   9.3
20190514/1145   9.4
20190514/1215   9.3
20190514/1245   9.0
20190514/1315   9.1
20190514/1345   9.5
20190514/1415   9.4
20190514/1445   9.4
20190514/1515   9.9
20190514/1545   10.1
20190514/1615   10.6
20190514/1645   11.8
20190514/1715   12.4
20190514/1745   12.6
20190514/1815   13.6
20190514/1845   14.6
20190514/1915   15.6
20190514/1945   15.2
20190514/2015   14.3
20190514/2045   14.4
20190514/2115   15.1
20190514/2145   14.3
20190514/2215   12.8
20190514/2245   12.4
20190514/2315   12.3
20190514/2345   12.7
20190515/0015   12.7
20190515/0045   11.2
20190515/0115   10.4
20190515/0145   10.5
20190515/0215   10.3
20190515/0245   10.3
20190515/0315   10.8
20190515/0345   11.1
20190515/0415   11.0
20190515/0445   11.0
20190515/0515   11.0
20190515/0545   11.1
20190515/0615   10.9
20190515/0645   10.4
20190515/0715   10.5
20190515/0745   10.8
20190515/0815   10.7
20190515/0845   10.5
20190515/0915   10.5
20190515/0945   10.9
20190515/1015   11.0
20190515/1045   10.7
20190515/1115   11.5
20190515/1145   13.4
20190515/1215   13.7
20190515/1245   13.1
20190515/1315   12.9
20190515/1345   13.0
20190515/1415   12.4
20190515/1445   11.8
20190515/1515   11.7
20190515/1545   12.0
20190515/1615   12.5
20190515/1645   12.8
20190515/1715   13.6
20190515/1745   14.6
20190515/1815   15.4
20190515/1845   16.4
20190515/1915   17.4
20190515/1945   17.5
20190515/2015   17.2
20190515/2045   18.0
20190515/2115   19.1
20190515/2145   18.8
20190515/2215   19.3
20190515/2245   21.1
20190515/2315   20.2
20190515/2345   19.4
20190516/0015   20.4
20190516/0045   21.1
20190516/0115   20.4
20190516/0145   19.0
20190516/0215   17.9
20190516/0245   18.2
20190516/0315   19.2
20190516/0345   18.9
20190516/0415   18.6
20190516/0445   17.9
20190516/0515   17.1
20190516/0545   17.3
20190516/0615   17.3
20190516/0645   14.6
20190516/0715   12.8
20190516/0745   12.3
20190516/0815   11.1
20190516/0845   11.6
20190516/0915   12.5
20190516/0945   13.3
20190516/1015   13.8
20190516/1045   13.7
20190516/1115   13.9
20190516/1145   14.4
20190516/1215   14.4
20190516/1245   14.1
20190516/1315   13.4
20190516/1345   12.3
20190516/1415   11.6
20190516/1445   12.1
20190516/1515   13.4
20190516/1545   13.9
20190516/1615   15.0
20190516/1645   15.3
20190516/1715   15.1
20190516/1745   16.4
20190516/1815   17.8
20190516/1845   18.8
20190516/1915   18.3
20190516/1945   19.2
20190516/2015   20.9
20190516/2045   20.4
20190516/2115   21.2
20190516/2145   21.9
20190516/2215   22.0
20190516/2245   21.0
20190516/2315   20.3
20190516/2345   19.6
20190517/0015   18.1
20190517/0045   18.4
20190517/0115   19.1
20190517/0145   20.4
20190517/0215   19.9
20190517/0245   18.7
20190517/0315   17.9
20190517/0345   18.2
20190517/0415   18.2
20190517/0445   17.1
20190517/0515   16.8
20190517/0545   17.0
20190517/0615   16.6
20190517/0645   16.5
20190517/0715   16.5
20190517/0745   15.9
20190517/0815   15.3
20190517/0845   15.9
20190517/0915   17.2
20190517/0945   18.3
20190517/1015   18.1
20190517/1045   16.8
20190517/1115   16.8
20190517/1145   17.5
20190517/1215   17.0
20190517/1245   16.1
20190517/1315   16.1
20190517/1345   15.7
20190517/1415   15.2
20190517/1445   15.1
20190517/1515   15.5
20190517/1545   15.6
20190517/1615   15.9
20190517/1645   16.1
20190517/1715   15.7
20190517/1745   15.8
20190517/1815   16.2
20190517/1845   16.4
20190517/1915   16.7
20190517/1945   17.8
20190517/2015   19.4
20190517/2045   20.0
20190517/2115   21.8
20190517/2145   20.8
20190517/2215   18.8
20190517/2245   19.4
20190517/2315   20.4
20190517/2345   21.2
20190518/0015   18.7
20190518/0045   17.2
20190518/0115   18.4
20190518/0145   19.5
20190518/0215   18.8
20190518/0245   17.2
20190518/0315   15.9
20190518/0345   16.7
20190518/0415   17.2
20190518/0445   17.0
20190518/0515   17.4
20190518/0545   16.1
20190518/0615   14.5
20190518/0645   15.4
20190518/0715   16.1
20190518/0745   14.9
20190518/0815   13.4
20190518/0845   13.0
20190518/0915   12.9
20190518/0945   13.1
20190518/1015   12.8
20190518/1045   11.4
20190518/1115   11.0
20190518/1145   11.5
20190518/1215   10.7
20190518/1245   10.0
20190518/1315   10.4
20190518/1345   10.8
20190518/1415   10.8
20190518/1445   11.0
20190518/1515   11.8
20190518/1545   12.6
20190518/1615   13.7
20190518/1645   14.9
20190518/1715   14.8
20190518/1745   15.1
20190518/1815   16.5
20190518/1845   17.1
20190518/1915   17.1
20190518/1945   17.9
20190518/2015   18.4
20190518/2045   19.7
20190518/2115   20.9
20190518/2145   19.2
20190518/2215   20.2
20190518/2245   19.0
20190518/2315   16.4
20190518/2345   17.1
20190519/0015   17.8
20190519/0045   18.9
20190519/0115   19.9
20190519/0145   20.7
20190519/0215   19.6
20190519/0245   18.2
20190519/0315   16.8
20190519/0345   16.3
20190519/0415   16.0
20190519/0445   14.3
20190519/0515   13.6
20190519/0545   12.2
20190519/0615   11.2
20190519/0645   11.9
20190519/0715   12.0
20190519/0745   11.8
20190519/0815   11.7
20190519/0845   11.2
20190519/0915   11.2
20190519/0945   10.8
20190519/1015   10.3
20190519/1045   10.3
20190519/1115   10.0
20190519/1145   9.6
20190519/1215   9.2
20190519/1245   9.1
20190519/1315   9.0
20190519/1345   8.3
20190519/1415   8.1
20190519/1445   8.1
20190519/1515   8.3
20190519/1545   8.4
20190519/1615   8.5
20190519/1645   8.9
20190519/1715   9.1
20190519/1745   10.3
20190519/1815   11.7
20190519/1845   11.6
20190519/1915   12.5
20190519/1945   14.3
20190519/2015   14.0
20190519/2045   13.6
20190519/2115   14.1
20190519/2145   13.4
20190519/2215   13.8
20190519/2245   15.0
20190519/2315   14.7
20190519/2345   13.8
20190520/0015   12.3
20190520/0045   10.3
20190520/0115   9.1
20190520/0145   8.5
20190520/0215   7.5
20190520/0245   5.8
20190520/0315   4.2
20190520/0345   3.6
20190520/0415   3.7
20190520/0445   3.8
20190520/0515   3.5
20190520/0545   2.8
20190520/0615   2.6
20190520/0645   3.2
20190520/0715   3.4
20190520/0745   2.7
20190520/0815   2.1
20190520/0845   2.4
20190520/0915   2.8
20190520/0945   3.2
20190520/1015   2.9
20190520/1045   2.3
20190520/1115   2.5
20190520/1145   3.3
20190520/1215   4.1
20190520/1245   4.5
20190520/1315   5.1
20190520/1345   4.9
20190520/1415   4.8
20190520/1445   4.7
20190520/1515   5.8
20190520/1545   7.4
20190520/1615   9.1
20190520/1645   10.2
20190520/1715   10.5
20190520/1745   12.6
20190520/1815   13.3
20190520/1845   12.4
20190520/1915   13.0
20190520/1945   14.8
20190520/2015   15.4
20190520/2045   16.5
20190520/2115   17.4
20190520/2145   17.0
20190520/2215   18.9
20190520/2245   18.3
20190520/2315   15.3
20190520/2345   13.0
20190521/0015   11.9
20190521/0045   12.8
20190521/0115   13.5
20190521/0145   13.5
20190521/0215   13.8
20190521/0245   12.9
20190521/0315   11.7
20190521/0345   11.0
20190521/0415   11.9
20190521/0445   12.8
20190521/0515   12.3
20190521/0545   12.1
20190521/0615   12.0
20190521/0645   12.3
20190521/0715   11.9
20190521/0745   11.5
20190521/0815   11.4
20190521/0845   10.4
20190521/0915   10.0
20190521/0945   10.1
20190521/1015   9.4
20190521/1045   8.6
20190521/1115   8.5
20190521/1145   8.5
20190521/1215   7.9
20190521/1245   7.3
20190521/1315   6.9
20190521/1345   6.5
20190521/1415   6.5
20190521/1445   6.5
20190521/1515   6.9
20190521/1545   7.7
20190521/1615   8.6
20190521/1645   9.4
20190521/1715   8.5
20190521/1745   8.8
20190521/1815   9.8
20190521/1845   10.0
20190521/1915   11.2
20190521/1945   12.0
20190521/2015   12.3
20190521/2045   13.2
20190521/2115   13.4
20190521/2145   13.3
20190521/2215   14.3
20190521/2245   14.3
20190521/2315   15.4
20190521/2345   16.9
20190523/0015   15.6
20190523/0045   15.5
20190523/0115   16.1
20190523/0145   16.3
20190523/0215   15.9
20190523/0245   16.1
20190523/0315   16.5
20190523/0345   16.1
20190523/0415   14.4
20190523/0445   13.7
20190523/0515   13.5
20190523/0545   11.4
20190523/0615   9.8
20190523/0645   9.2
20190523/0715   8.4
20190523/0745   7.1
20190523/0815   6.7
20190523/0845   7.0
20190523/0915   6.7
20190523/0945   5.8
20190523/1015   4.5
20190523/1045   3.3
20190523/1115   3.1
20190523/1145   3.4
20190523/1215   3.9
20190523/1245   3.7
20190523/1315   4.0
20190523/1345   5.0
20190523/1415   5.1
20190523/1445   5.0
20190523/1515   5.6
20190523/1545   6.4
20190523/1615   9.0
20190523/1645   11.0
20190523/1715   11.8
20190523/1745   13.4
20190523/1815   13.9
20190523/1845   15.4
20190523/1915   17.3
20190523/1945   20.7
20190523/2015   20.9
20190523/2045   20.8
20190523/2115   19.7
20190523/2145   17.8
20190523/2215   22.1
20190523/2245   22.7
20190523/2315   20.7
20190523/2345   17.8
20190524/0015   14.9
20190524/0045   14.9
20190524/0115   17.3
20190524/0145   17.7
20190524/0215   16.0
20190524/0245   14.7
20190524/0315   14.5
20190524/0345   15.2
20190524/0415   14.1
20190524/0445   14.5
20190524/0515   15.3
20190524/0545   15.4
20190524/0615   16.0
20190524/0645   17.0
20190524/0715   16.9
20190524/0745   15.3
20190524/0815   15.4
20190524/0845   17.1
20190524/0915   18.0
20190524/0945   18.2
20190524/1015   17.7
20190524/1045   16.9
20190524/1115   16.9
20190524/1145   16.9
20190524/1215   17.4
20190524/1245   17.3
20190524/1315   17.6
20190524/1345   17.5
20190524/1415   16.1
20190524/1445   15.1
20190524/1515   14.7
20190524/1545   13.4
20190524/1615   12.6
20190524/1645   13.0
20190524/1715   12.6
20190524/1745   13.7
20190524/1815   14.1
20190524/1845   13.7
20190524/1915   14.2
20190524/1945   14.5
20190524/2015   15.6
20190524/2045   18.2
20190524/2115   16.5
20190524/2145   16.3
20190524/2215   19.1
20190524/2245   18.3
20190524/2315   17.7
20190524/2345   16.4
20190525/0015   15.0
20190525/0045   13.7
20190525/0115   12.4
20190525/0145   12.2
20190525/0215   12.2
20190525/0245   11.7
20190525/0315   10.8
20190525/0345   9.9
20190525/0415   9.6
20190525/0445   10.0
20190525/0515   9.5
20190525/0545   9.0
20190525/0615   9.4
20190525/0645   9.8
20190525/0715   9.6
20190525/0745   8.8
20190525/0815   8.8
20190525/0845   9.1
20190525/0915   9.7
20190525/0945   9.3
20190525/1015   8.4
