PWVmidTim        PW
20190110/0015   32.1
20190110/0045   32.5
20190110/0115   31.8
20190110/0145   31.4
20190110/0215   30.9
20190110/0245   29.7
20190110/0315   30.1
20190110/0345   29.7
20190110/0415   28.7
20190110/0445   28.7
20190110/0515   29.0
20190110/0545   30.0
20190110/0615   30.8
20190110/0645   29.9
20190110/0715   29.6
20190110/0745   30.2
20190110/0815   29.5
20190110/0845   30.5
20190110/0915   31.2
20190110/0945   30.8
20190110/1015   31.1
20190110/1045   32.1
20190110/1115   32.9
20190110/1145   31.4
20190110/1215   30.1
20190110/1245   30.6
20190110/1315   31.5
20190110/1345   32.8
20190110/1415   34.4
20190110/1445   33.9
20190110/1515   34.2
20190110/1545   34.5
20190110/1615   34.6
20190110/1645   36.0
20190110/1715   38.0
20190110/1745   37.2
20190110/1815   36.6
20190110/1845   39.1
20190110/1915   38.2
20190110/1945   36.9
20190110/2015   37.6
20190110/2045   36.7
20190110/2115   35.1
20190110/2145   34.4
20190110/2215   34.8
20190110/2245   34.9
20190110/2315   34.7
20190110/2345   33.7
20190110/2345   33.7
20190111/0015   32.7
20190111/0045   32.9
20190111/0115   33.8
20190111/0145   34.0
20190111/0215   34.1
20190111/0245   35.4
20190111/0315   36.0
20190111/0345   36.7
20190111/0415   37.1
20190111/0445   36.2
20190111/0515   35.5
20190111/0545   35.7
20190111/0615   36.2
20190111/0645   36.3
20190111/0715   35.8
20190111/0745   35.0
20190111/0815   34.7
20190111/0845   35.3
20190111/0915   35.6
20190111/0945   34.8
20190111/1015   35.3
20190111/1045   36.0
20190111/1115   35.8
20190111/1145   35.9
20190111/1215   36.3
20190111/1245   35.9
20190111/1315   34.2
20190111/1345   33.9
20190111/1415   34.9
20190111/1445   35.0
20190111/1515   35.5
20190111/1545   36.2
20190111/1615   37.5
20190111/1645   37.9
20190111/1715   35.7
20190111/1745   34.1
20190111/1815   34.1
20190111/1845   35.7
20190111/1915   34.6
20190111/1945   33.1
20190111/2015   33.4
20190111/2045   32.2
20190111/2115   31.3
20190111/2145   31.2
20190111/2215   30.9
20190111/2245   31.0
20190111/2315   31.0
20190111/2345   31.3
20190111/2345   31.3
20190112/0015   31.3
20190112/0045   30.9
20190112/0115   30.8
20190112/0145   30.8
20190112/0215   29.7
20190112/0245   29.5
20190112/0315   31.4
20190112/0345   30.7
20190112/0415   30.8
20190112/0445   32.2
20190112/0515   32.2
20190112/0545   32.7
20190112/0615   33.2
20190112/0645   33.6
20190112/0715   32.6
20190112/0745   32.7
20190112/0815   34.0
20190112/0845   35.7
20190112/0915   36.7
20190112/0945   36.0
20190112/1015   37.2
20190112/1045   38.7
20190112/1115   39.8
20190112/1145   40.2
20190112/1215   38.7
20190112/1245   37.8
20190112/1315   37.3
20190112/1345   37.4
20190112/1415   38.0
20190112/1445   37.0
20190112/1515   35.6
20190112/1545   35.0
20190112/1615   34.3
20190112/1645   33.9
20190112/1715   35.3
20190112/1745   35.0
20190112/1815   35.2
20190112/1845   35.2
20190112/1915   34.4
20190112/1945   34.6
20190112/2015   34.5
20190112/2045   34.1
20190112/2115   33.2
20190112/2145   32.6
20190112/2215   32.4
20190112/2245   33.1
20190112/2315   33.5
20190112/2345   32.7
20190112/2345   32.7
20190113/0015   31.8
20190113/0045   31.7
20190113/0115   31.7
20190113/0145   31.1
20190113/0215   31.4
20190113/0245   32.4
20190113/0315   32.4
20190113/0345   32.7
20190113/0415   33.2
20190113/0445   34.2
20190113/0515   34.6
20190113/0545   33.3
20190113/0615   32.3
20190113/0645   32.6
20190113/0715   32.8
20190113/0745   32.6
20190113/0815   31.5
20190113/0845   31.1
20190113/0915   31.8
20190113/0945   31.9
20190113/1015   31.5
20190113/1045   32.2
20190113/1115   32.2
20190113/1145   31.1
20190113/1215   31.0
20190113/1245   31.5
20190113/1315   31.5
20190113/1345   30.8
20190113/1415   29.0
20190113/1445   28.3
20190113/1515   29.1
20190113/1545   29.6
20190113/1615   30.8
20190113/1645   31.2
20190113/1715   30.3
20190113/1745   31.0
20190113/1815   33.1
20190113/1845   34.0
20190113/1915   33.7
20190113/1945   33.1
20190113/2015   32.0
20190113/2045   32.3
20190113/2115   34.0
20190113/2145   34.2
20190113/2215   33.3
20190113/2245   33.8
20190113/2315   34.0
20190113/2345   30.7
20190113/2345   30.7
20190114/0015   27.6
20190114/0045   26.4
20190114/0115   25.4
20190114/0145   25.6
20190114/0215   26.3
20190114/0245   26.7
20190114/0315   26.4
20190114/0345   24.6
20190114/0415   23.8
20190114/0445   23.9
20190114/0515   24.0
20190114/0545   24.9
20190114/0615   25.1
20190114/0645   24.6
20190114/0715   24.9
20190114/0745   26.0
20190114/0815   26.0
20190114/0845   24.9
20190114/0915   23.6
20190114/0945   22.9
20190114/1015   22.7
20190114/1045   22.7
20190114/1115   23.4
20190114/1145   23.9
20190114/1215   23.8
20190114/1245   23.8
20190114/1315   23.9
20190114/1345   23.9
20190114/1415   24.1
20190114/1445   25.1
20190114/1515   26.4
20190114/1545   26.4
20190114/1615   27.2
20190114/1645   28.8
20190114/1715   29.1
20190114/1745   29.4
20190114/1815   30.8
20190114/1845   31.1
20190114/1915   32.1
20190114/1945   33.1
20190114/2015   33.2
20190114/2045   33.2
20190114/2115   33.0
20190114/2145   35.3
20190114/2215   36.1
20190114/2245   34.0
20190114/2315   32.8
20190114/2345   32.0
20190114/2345   32.0
20190116/0015   41.0
20190116/0045   40.9
20190116/0115   42.2
20190116/0145   42.8
20190116/0215   43.6
20190116/0245   44.5
20190116/0315   45.1
20190116/0345   44.8
20190116/0415   44.5
20190116/0445   43.9
20190116/0515   42.8
20190116/0545   43.3
20190116/0615   42.9
20190116/0645   42.6
20190116/0715   42.6
20190116/0745   41.7
20190116/0815   42.2
20190116/0845   42.1
20190116/0915   40.8
20190116/0945   41.0
20190116/1015   41.0
20190116/1045   40.9
20190116/1115   39.4
20190116/1145   38.1
20190116/1215   38.9
20190116/1245   39.3
20190116/1315   39.7
20190116/1345   40.2
20190116/1415   40.7
20190116/1445   41.3
20190116/1515   41.6
20190116/1545   41.8
20190116/1615   42.0
20190116/1645   41.8
20190116/1715   41.8
20190116/1745   42.0
20190116/1815   41.6
20190116/1845   42.1
20190116/1915   41.9
20190116/1945   40.8
20190116/2015   39.4
20190116/2045   39.0
20190116/2115   39.7
20190116/2145   40.1
20190116/2215   40.4
20190116/2245   40.1
20190116/2315   39.2
20190116/2345   38.1
20190116/2345   38.1
20190121/0015   33.2
20190121/0045   32.2
20190121/0115   31.1
20190121/0145   31.6
20190121/0215   32.1
20190121/0245   32.3
20190121/0315   31.9
20190121/0345   32.2
20190121/0415   33.2
20190121/0445   33.8
20190121/0515   34.6
20190121/0545   34.6
20190121/0615   34.0
20190121/0645   33.6
20190121/0715   33.8
20190121/0745   33.7
20190121/0815   34.1
20190121/0845   34.4
20190121/0915   33.9
20190121/0945   33.6
20190121/1015   34.1
20190121/1045   33.7
20190121/1115   32.9
20190121/1145   33.5
20190121/1215   33.8
20190121/1245   33.9
20190121/1315   34.8
20190121/1345   35.7
20190121/1415   35.8
20190121/1445   35.2
20190121/1515   35.2
20190121/1545   36.0
20190121/1615   35.5
20190121/1645   34.5
20190121/1715   34.5
20190121/1745   34.9
20190121/1815   34.8
20190121/1845   34.1
20190121/1915   33.7
20190121/1945   32.7
20190121/2015   30.6
20190121/2045   30.1
20190121/2115   30.2
20190121/2145   30.4
20190121/2215   31.3
20190121/2245   31.2
20190121/2315   30.4
20190121/2345   31.3
20190121/2345   31.3
20190122/0015   32.1
20190122/0045   31.6
20190122/0115   30.9
20190122/0145   31.3
20190122/0215   31.9
20190122/0245   31.3
20190122/0315   31.6
20190122/0345   32.7
20190122/0415   33.1
20190122/0445   32.7
20190122/0515   32.3
20190122/0545   32.0
20190122/0615   32.6
20190122/0645   32.8
20190122/0715   32.2
20190122/0745   31.5
20190122/0815   31.5
20190122/0845   31.7
20190122/0915   31.5
20190122/0945   31.6
20190122/1015   32.2
20190122/1045   32.0
20190122/1115   31.0
20190122/1145   30.6
20190122/1215   30.3
20190122/1245   30.6
20190122/1315   31.7
20190122/1345   33.4
20190122/1415   35.7
20190122/1445   37.4
20190122/1515   38.7
20190122/1545   41.6
20190122/1615   43.1
20190122/1645   42.7
20190122/1715   41.5
20190122/1745   42.2
20190122/1815   41.8
20190122/1845   41.1
20190122/1915   42.5
20190122/1945   41.9
20190122/2015   40.4
20190122/2045   40.2
20190122/2115   40.5
20190122/2145   40.0
20190122/2215   40.3
20190122/2245   40.6
20190122/2315   40.4
20190122/2345   39.3
20190122/2345   39.3
20190123/0015   38.7
20190123/0045   38.1
20190123/0115   37.7
20190123/0145   38.7
20190123/0215   38.5
20190123/0245   37.8
20190123/0315   36.7
20190123/0345   35.8
20190123/0415   36.6
20190123/0445   36.9
20190123/0515   37.5
20190123/0545   38.0
20190123/0615   37.6
20190123/0645   38.4
20190123/0715   38.2
20190123/0745   38.5
20190123/0815   38.6
20190123/0845   38.3
20190123/0915   38.5
20190123/0945   38.0
20190123/1015   38.1
20190123/1045   39.3
20190123/1115   39.7
20190123/1145   39.3
20190123/1215   39.3
20190123/1245   38.7
20190123/1315   38.7
20190123/1345   38.7
20190123/1415   39.4
20190123/1445   38.9
20190123/1515   36.2
20190123/1545   36.2
20190123/1615   37.1
20190123/1645   36.3
20190123/1715   36.9
20190123/1745   36.7
20190123/1815   35.0
20190123/1845   34.1
20190123/1915   33.2
20190123/1945   33.3
20190123/2015   32.6
20190123/2045   31.2
20190123/2115   31.3
20190123/2145   31.7
20190123/2215   31.5
20190123/2245   31.1
20190123/2315   29.3
20190123/2345   27.9
20190123/2345   27.9
20190124/0015   28.9
20190124/0045   29.1
20190124/0115   29.0
20190124/0145   28.7
20190124/0215   28.1
20190124/0245   26.6
20190124/0315   27.5
20190124/0345   32.9
20190124/0415   35.9
20190124/0445   34.8
20190124/0515   34.2
20190124/0545   32.2
20190124/0615   29.9
20190124/0645   29.1
20190124/0715   27.8
20190124/0745   28.5
20190124/0815   28.3
20190124/0845   26.4
20190124/0915   26.7
20190124/0945   27.5
20190124/1015   27.0
20190124/1045   26.9
20190124/1115   27.0
20190124/1145   28.0
20190124/1215   28.8
20190124/1245   28.1
20190124/1315   28.9
20190124/1345   29.2
20190124/1415   29.3
20190124/1445   28.4
20190124/1515   27.0
20190124/1545   27.9
20190124/1615   29.1
20190124/1645   29.9
20190124/1715   30.6
20190124/1745   29.8
20190124/1815   28.3
20190124/1845   29.5
20190124/1915   30.7
20190124/1945   30.3
20190124/2015   30.3
20190124/2045   30.5
20190124/2115   30.5
20190124/2145   29.0
20190124/2215   28.0
20190124/2245   27.6
20190124/2315   27.3
20190124/2345   27.2
20190124/2345   27.2
20190125/0015   27.0
20190125/0045   26.1
20190125/0115   25.2
20190125/0145   25.9
20190125/0215   26.5
20190125/0245   25.8
20190125/0315   24.7
20190125/0345   23.9
20190125/0415   22.9
20190125/0445   22.7
20190125/0515   23.3
20190125/0545   21.8
20190125/0615   22.0
20190125/0645   22.5
20190125/0715   23.2
20190125/0745   25.6
20190125/0815   27.2
20190125/0845   27.6
20190125/0915   27.5
20190125/0945   28.0
20190125/1015   27.9
20190125/1045   27.5
20190125/1115   29.0
20190125/1145   29.8
20190125/1215   27.8
20190125/1245   27.6
20190125/1315   29.4
20190125/1345   29.4
20190125/1415   28.8
20190125/1445   28.8
20190125/1515   30.0
20190125/1545   31.1
20190125/1615   29.8
20190125/1645   27.0
20190125/1715   26.9
20190125/1745   29.4
20190125/1815   28.7
20190125/1845   26.7
20190125/1915   27.7
20190125/1945   27.5
20190125/2015   25.7
20190125/2045   26.3
20190125/2115   27.5
20190125/2145   25.9
20190125/2215   23.1
20190125/2245   23.1
20190125/2315   23.8
20190125/2345   23.9
20190125/2345   23.9
20190126/0015   24.3
20190126/0045   24.8
20190126/0115   26.0
20190126/0145   26.9
20190126/0215   27.4
20190126/0245   27.3
20190126/0315   27.5
20190126/0345   27.3
20190126/0415   26.0
20190126/0445   26.3
20190126/0515   27.2
20190126/0545   27.5
20190126/0615   27.8
20190126/0645   27.3
20190126/0715   26.6
20190126/0745   27.8
20190126/0815   29.0
20190126/0845   29.4
20190126/0915   29.6
20190126/0945   29.7
20190126/1015   30.3
20190126/1045   31.2
20190126/1115   32.7
20190126/1145   34.2
20190126/1215   35.0
20190126/1245   34.8
20190126/1315   35.3
20190126/1345   35.5
20190126/1415   36.6
20190126/1445   36.8
20190126/1515   36.1
20190126/1545   36.6
20190126/1615   36.6
20190126/1645   37.9
20190126/1715   38.7
20190126/1745   39.1
20190126/1815   38.3
20190126/1845   38.1
20190126/1915   38.9
20190126/1945   38.0
20190126/2015   38.7
20190126/2045   39.4
20190126/2115   39.3
20190126/2145   38.7
20190126/2215   38.2
20190126/2245   38.2
20190126/2315   37.7
20190126/2345   36.7
20190126/2345   36.7
20190127/0015   35.5
20190127/0045   33.4
20190127/0115   29.8
20190127/0145   29.1
20190127/0215   30.6
20190127/0245   30.2
20190127/0315   29.8
20190127/0345   29.2
20190127/0415   28.6
20190127/0445   29.2
20190127/0515   30.1
20190127/0545   30.1
20190127/0615   28.9
20190127/0645   27.2
20190127/0715   24.0
20190127/0745   22.8
20190127/0815   21.7
20190127/0845   20.4
20190127/0915   21.4
20190127/0945   22.2
20190127/1015   23.3
20190127/1045   24.0
20190127/1115   23.8
20190127/1145   24.2
20190127/1215   25.0
20190127/1245   25.1
20190127/1315   25.0
20190127/1345   25.6
20190127/1415   26.3
20190127/1445   26.1
20190127/1515   27.1
20190127/1545   27.5
20190127/1615   26.7
20190127/1645   27.8
20190127/1715   29.2
20190127/1745   29.6
20190127/1815   28.8
20190127/1845   28.7
20190127/1915   29.3
20190127/1945   28.4
20190127/2015   28.6
20190127/2045   28.8
20190127/2115   28.7
20190127/2145   29.1
20190127/2215   29.2
20190127/2245   29.2
20190127/2315   29.1
20190127/2345   29.6
20190127/2345   29.6
20190128/0015   29.8
20190128/0045   30.1
20190128/0115   30.6
20190128/0145   31.3
20190128/0215   31.7
20190128/0245   31.5
20190128/0315   32.0
20190128/0345   32.4
20190128/0415   32.2
20190128/0445   32.6
20190128/0515   32.8
20190128/0545   32.6
20190128/0615   32.3
20190128/0645   32.8
20190128/0715   32.8
20190128/0745   32.2
20190128/0815   32.5
20190128/0845   32.5
20190128/0915   31.6
20190128/0945   31.8
20190128/1015   31.3
20190128/1045   30.1
20190128/1115   31.0
20190128/1145   31.4
20190128/1215   31.1
20190128/1245   31.9
20190128/1315   33.0
20190128/1345   33.7
20190128/1415   33.9
20190128/1445   34.7
20190128/1515   35.3
20190128/1545   35.1
20190128/1615   34.7
20190128/1645   35.0
20190128/1715   35.7
20190128/1745   36.4
20190128/1815   36.6
20190128/1845   36.6
20190128/1915   37.6
20190128/1945   36.7
20190128/2015   35.1
20190128/2045   36.1
20190128/2115   36.3
20190128/2145   35.4
20190128/2215   35.5
20190128/2245   35.5
20190128/2315   35.2
20190128/2345   34.2
20190129/0015   33.4
20190129/0045   33.1
20190129/0115   33.4
20190129/0145   33.6
20190129/0215   33.0
20190129/0245   32.5
20190129/0315   32.5
20190129/0345   32.5
20190129/0415   32.5
20190129/0445   33.0
20190129/0515   33.0
20190129/0545   33.5
20190129/0615   33.2
20190129/0645   32.6
20190129/0715   32.7
20190129/0745   32.5
20190129/0815   31.9
20190129/0845   31.2
20190129/0915   31.5
20190129/0945   31.2
20190129/1015   30.4
20190129/1045   30.7
20190129/1115   31.9
20190129/1145   32.3
20190129/1215   32.5
20190129/1245   32.6
20190129/1315   32.0
20190129/1345   32.9
20190129/1415   33.3
20190129/1445   32.7
20190129/1515   32.8
20190129/1545   32.8
20190129/1615   33.4
20190129/1645   33.9
20190129/1715   33.0
20190129/1745   32.3
20190129/1815   32.2
20190129/1845   32.1
20190129/1915   32.7
20190129/1945   32.7
20190129/2015   31.5
20190129/2045   31.3
20190129/2115   31.4
20190129/2145   31.0
20190129/2215   30.5
20190129/2245   30.4
20190129/2315   30.6
20190129/2345   30.5
20190130/0015   30.0
20190130/0045   29.3
20190130/0115   29.2
20190130/0145   29.6
20190130/0215   29.4
20190130/0245   28.4
20190130/0315   28.7
20190130/0345   28.0
20190130/0415   27.0
20190130/0445   27.8
20190130/0515   27.3
20190130/0545   26.7
20190130/0615   26.5
20190130/0645   26.1
20190130/0715   26.4
20190130/0745   27.3
20190130/0815   28.2
20190130/0845   28.5
20190130/0915   28.7
20190130/0945   29.3
20190130/1015   29.5
20190130/1045   29.3
20190130/1115   29.3
20190130/1145   29.0
20190130/1215   28.8
20190130/1245   29.2
20190130/1315   29.8
20190130/1345   30.4
20190130/1415   29.9
20190130/1445   28.5
20190130/1515   28.5
20190130/1545   29.0
20190130/1615   29.5
20190130/1645   29.8
20190130/1715   29.4
20190130/1745   30.2
20190130/1815   30.9
20190130/1845   30.2
20190130/1915   31.4
20190130/1945   32.1
20190130/2015   33.0
20190130/2045   34.4
20190130/2115   34.0
20190130/2145   32.5
20190130/2215   29.8
20190130/2245   28.1
